name,ticker,year,quarter,period,period_end,revenue,operating_income,net_income,equity,operating_margin,fs_div
미창석유,003650,2017,1,2017Q1,2017-03-31,74025324602.0,3761303730.0,2531466486.0,242484351306.0,5.081104000857536,OFS
미창석유,003650,2017,2,2017Q2,2017-06-30,-5906214099.0,-41492407.0,732414921.0,244906335926.0,0.7025212141738176,OFS
미창석유,003650,2017,3,2017Q3,2017-09-30,1237045685.0,-510501659.0,628971596.0,247400103545.0,-41.2678096848137,OFS
미창석유,003650,2017,4,2017Q4,2017-12-31,212524859552.0,10385782016.0,8581970044.0,247926169039.0,4.886855136802872,OFS
미창석유,003650,2018,1,2018Q1,2018-03-31,71922126690.0,2533954145.0,2641357757.0,246746140498.0,3.5231913482229094,OFS
미창석유,003650,2018,2,2018Q2,2018-06-30,-2301290092.0,-594686908.0,-292598628.0,247535068723.0,25.841457800879457,OFS
미창석유,003650,2018,3,2018Q3,2018-09-30,385996444.0,1080713616.0,1088299750.0,249024510106.0,279.98020002484793,OFS
미창석유,003650,2018,4,2018Q4,2018-12-31,220804780792.0,9575721441.0,7285134484.0,250058031288.0,4.336736463156752,OFS
미창석유,003650,2019,1,2019Q1,2019-03-31,70445160534.0,4343122524.0,5727401466.0,252577582120.0,6.1652532140995175,OFS
미창석유,003650,2019,2,2019Q2,2019-06-30,-1520377307.0,124526900.0,-1242734899.0,255417584499.0,-8.190526090245044,OFS
미창석유,003650,2019,3,2019Q3,2019-09-30,-2529595354.0,-880015149.0,-959647104.0,257038166695.0,34.788771556227324,CFS
미창석유,003650,2019,4,2019Q4,2019-12-31,227130910412.0,13892324571.0,14200840440.0,257948506696.0,6.1164394338931105,CFS
미창석유,003650,2020,1,2020Q1,2020-03-31,70798186937.0,5100574122.0,1248633344.0,254346101819.0,7.204385228874241,CFS
